ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
799,MH176,0,0,164461.86,580384.13,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
800,MH177,0,0,163759.6,580583.28,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
801,MH178,0,0,164327.67,578932.45,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
812,MH179,0,0,162948.87,579740.33,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
813,MH180,0,0,164347.61,578930.78,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
824,MH181,0,0,164371.83,578928.43,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
835,MH182,0,0,164392.17,578927.43,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
846,MH183,0,0,164402.29,578926.73,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
857,MH184,0,0,164143.64,579041.07,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
868,MH185,0,0,164167.08,579039.01,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
879,MH186,0,0,164208.69,579035.56,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
890,MH187,0,0,164238.85,579032.68,FALSE,0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),TRUE,
