ID,Label,Elevation (Ground) (m),Elevation (Rim) (m),X (m),Y (m),Bolted Cover?,Elevation (Invert) (m),Flow (Total In) (m³/h),Flow (Total Out) (m³/h),Hydraulic Grade Line (Out) (m),Hydraulic Grade Line (In) (m),Sanitary Loads,Notes,Population (Local Sanitary) (Capita),Is Active?,MH BY YG
2076,MH347,132.16,132.16,164133.59,580269.22,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2079,MH348,0.0,0.0,164349.53,578602.52,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2090,MH349,0.0,0.0,164289.17,578607.67,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2101,MH350,0.0,0.0,164373.24,578639.99,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2104,MH351,136.83,136.83,164209.68,580189.45,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2123,MH353,0.0,0.0,164382.49,578687.65,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2134,MH354,0.0,0.0,164384.38,578720.31,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2136,MH355,137.42,137.42,164016.08,580021.87,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2145,MH356,0.0,0.0,162882.04,579635.77,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2146,MH357,0.0,0.0,164385.8,578747.08,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2157,MH358,0.0,0.0,164389.79,578779.11,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2168,MH359,0.0,0.0,164392.57,578805.66,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2179,MH360,0.0,0.0,164394.29,578839.33,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2180,MH361,139.64,139.64,164165.56,580075.27,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2190,MH362,0.0,0.0,164397.37,578867.2,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2192,MH363,142.84,142.84,164295.03,580084.47,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2201,MH364,0.0,0.0,164399.89,578896.17,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2212,MH365,0.0,0.0,164308.62,578872.53,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2245,MH369,0.0,0.0,164368.09,578868.33,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2253,MH370,123.93,123.93,164038.89,580803.08,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2257,MH372,0.0,0.0,162878.07,579652.97,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2258,MH373,0.0,0.0,164420.91,578864.82,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2260,MH374,124.36,124.36,164148.41,580720.36,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2262,MH375,123.79,123.79,164179.98,580868.38,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
2266,MH376,123.31,123.31,164265.88,580851.4,False,0.0,(N/A),(N/A),(N/A),(N/A),<Collection: 0 items>,,(N/A),True,
